Date,Open,High,Low,Close,Adj Close,Volume
2016-01-05,76.250000,76.510002,75.540001,76.269997,73.583786,8972700
2016-01-06,75.000000,75.849998,74.849998,75.269997,72.619003,16092000
2016-01-07,73.760002,75.089996,73.349998,73.790001,71.191124,12470800
2016-01-08,74.059998,74.510002,72.750000,72.879997,70.313179,9977600
2016-01-11,73.110001,74.080002,72.660004,73.919998,71.316559,13069500
2016-01-12,74.519997,75.000000,74.019997,74.760002,72.126953,10236900
2016-01-13,75.269997,75.389999,72.989998,73.099998,70.525429,12659600
2016-01-14,73.150002,74.519997,72.660004,73.800003,71.200790,10426200
2016-01-15,71.940002,72.949997,70.660004,71.830002,69.300156,18470500
2016-01-19,72.940002,73.019997,70.660004,71.389999,68.875664,16009600
2016-01-20,69.959999,71.410004,69.040001,70.680000,68.190666,16586000
2016-01-21,70.720001,72.330002,70.099998,71.559998,69.039680,11931200
2016-01-22,72.669998,73.180000,72.129997,72.699997,70.139534,8652600
2016-01-25,72.760002,72.910004,71.580002,71.739998,69.213318,9126200
2016-01-26,72.180000,72.269997,71.550003,71.879997,69.348404,7500200
2016-01-27,71.980003,72.480003,70.580002,70.910004,68.412544,9020500
2016-01-28,71.419998,71.849998,69.330002,69.330002,66.888214,15295600
2016-01-29,70.430000,74.500000,68.760002,74.489998,71.866478,40427800
2016-02-01,74.080002,74.779999,73.250000,74.379997,71.760345,12623500
2016-02-02,73.500000,74.209999,73.129997,73.400002,70.814873,9572700
2016-02-03,73.760002,74.629997,72.430000,74.379997,71.760345,9941900
2016-02-04,74.099998,74.629997,72.760002,73.680000,71.085007,14735700
2016-02-05,73.559998,73.610001,70.550003,71.540001,69.020378,12939400
2016-02-08,69.949997,70.040001,66.300003,67.769997,65.383163,30542600
2016-02-09,66.389999,69.480003,66.120003,68.330002,65.923447,14882800
2016-02-10,69.139999,71.029999,69.070000,70.150002,67.818291,11369500
2016-02-11,67.790001,69.070000,67.430000,68.470001,66.194130,13962100
2016-02-12,69.440002,70.470001,69.120003,70.419998,68.079323,8710200
2016-02-16,71.410004,71.750000,70.400002,71.099998,68.736702,8780700
2016-02-17,71.730003,72.120003,71.300003,72.029999,69.773186,8494100
2016-02-18,71.889999,72.250000,71.019997,71.239998,69.007950,6938100
2016-02-19,71.029999,71.720001,70.300003,71.529999,69.288857,7750900
2016-02-22,72.279999,73.190002,72.099998,73.059998,70.770905,7481500
2016-02-23,72.949997,73.120003,71.989998,72.150002,69.889435,6177000
2016-02-24,71.250000,72.190002,70.379997,71.849998,69.598824,7728600
2016-02-25,71.959999,73.339996,71.940002,73.269997,70.974335,6840900
2016-02-26,73.739998,73.910004,72.690002,72.730003,70.451248,6714100
2016-02-29,72.860001,73.900002,72.389999,72.389999,70.121902,7786100
2016-03-01,72.989998,74.639999,72.900002,74.639999,72.301414,8705300
2016-03-02,74.500000,74.599998,73.660004,74.300003,71.972061,5739100
2016-03-03,74.480003,74.500000,73.360001,73.910004,71.594299,6588300
2016-03-04,74.220001,74.250000,73.610001,73.900002,71.584602,9475300
2016-03-07,73.389999,73.449997,71.349998,71.940002,69.686005,16671900
2016-03-08,71.500000,71.519997,70.510002,70.620003,68.407379,12394400
2016-03-09,71.000000,71.080002,69.900002,70.680000,68.465485,9291600
2016-03-10,71.139999,71.400002,69.580002,70.220001,68.019897,10135100
2016-03-11,71.150002,72.010002,70.680000,71.629997,69.385719,9466400
2016-03-14,71.599998,71.720001,70.949997,71.489998,69.250107,7916500
2016-03-15,71.180000,71.910004,70.660004,71.910004,69.656952,6442800
2016-03-16,71.680000,72.830002,71.510002,72.370003,70.102539,7561800
2016-03-17,72.279999,73.669998,72.169998,73.139999,70.848396,7411700
2016-03-18,73.500000,74.099998,73.129997,73.779999,71.468361,15026200
2016-03-21,73.580002,73.940002,73.150002,73.769997,71.458672,7397400
2016-03-22,73.239998,73.650002,72.930000,72.959999,70.674049,6796800
2016-03-23,72.949997,74.169998,72.769997,73.910004,71.594299,7287100
2016-03-24,73.650002,74.160004,73.410004,74.139999,71.817078,6303900
2016-03-28,74.139999,74.269997,73.720001,74.080002,71.758965,7283300
2016-03-29,74.019997,75.589996,73.919998,75.379997,73.018227,10541500
2016-03-30,75.900002,77.000000,75.839996,76.779999,74.374359,9691900
2016-03-31,76.620003,76.919998,75.949997,76.480003,74.083763,7490800
2016-04-01,76.250000,78.250000,75.800003,77.589996,75.158989,10183400
2016-04-04,77.970001,78.309998,77.529999,77.830002,75.391457,6905800
2016-04-05,77.139999,77.470001,76.580002,76.970001,74.558411,6012000
2016-04-06,77.080002,78.279999,77.000000,78.209999,75.759567,6220400
2016-04-07,77.709999,77.980003,77.190002,77.580002,75.149307,7542100
2016-04-08,78.080002,78.620003,77.809998,78.029999,75.585220,5327500
2016-04-11,78.360001,78.779999,77.769997,77.820000,75.381767,5957200
2016-04-12,77.720001,78.550003,77.650002,78.519997,76.059845,5962900
2016-04-13,79.029999,79.930000,78.910004,79.709999,77.212570,9187300
2016-04-14,79.760002,80.669998,79.309998,80.330002,77.813118,11470300
2016-04-15,80.250000,80.690002,79.900002,80.080002,77.570969,7186700
2016-04-18,80.199997,81.550003,79.830002,81.449997,78.898041,7761200
2016-04-19,81.500000,81.730003,80.370003,80.750000,78.219978,8324700
2016-04-20,80.879997,81.639999,80.550003,81.150002,78.607460,8521300
2016-04-21,81.500000,81.669998,80.680000,80.790001,78.258720,9536900
2016-04-22,78.000000,79.360001,77.279999,79.110001,76.631363,18216000
2016-04-25,78.690002,78.839996,77.820000,78.139999,75.691742,11184600
2016-04-26,78.449997,78.699997,78.110001,78.529999,76.069519,6071800
2016-04-27,78.410004,79.000000,78.169998,78.760002,76.292328,6319400
2016-04-28,78.349998,79.269997,77.599998,77.680000,75.246155,8322600
2016-04-29,77.519997,78.010002,76.860001,77.239998,74.819954,8092700
2016-05-02,77.809998,78.470001,77.160004,78.459999,76.001740,7636800
2016-05-03,77.430000,78.360001,76.930000,77.190002,74.771515,7666300
2016-05-04,76.559998,77.379997,76.349998,77.070000,74.655273,8854000
2016-05-05,77.139999,77.699997,77.010002,77.360001,74.936188,6002300
2016-05-06,77.230003,77.800003,76.779999,77.720001,75.284912,6172600
2016-05-09,77.690002,78.360001,77.580002,78.220001,75.769257,9242300
2016-05-10,78.419998,79.330002,78.410004,79.199997,76.718536,6802600
2016-05-11,79.139999,79.330002,77.290001,77.300003,75.010666,8432500
